Sl. No,Name of Incident,Date,Month,Year,Country,Type of Event,Place Name,Impact,Affected Population,Important Person/Group Responsible,Outcome,Broad Category,Continent,Other,Military and Conflict,Political Events,Technological and Scientific Advancements,Crisis and Emergency Response,Economic and Infrastructure Development,Social and Cultural Events,Environmental and Health,Legal and Judicial Changes,International Relations and Diplomacy,Historical and Monumental,Social and Civil Rights
981,Somali Civil War Begins,Unknown,Unknown,1991,Somalia,Civil War,Somalia,Led to state collapse and ongoing conflict.,Somalis,"Various warlords, clans",Negative,Military and Conflict,Africa,0.10952511,0.19310498,0.13658375,0.08135983,0.06814855,0.04917007,0.14644021,0.07136455,0.03545656,0.053538747,0.051374532,0.003933171
982,Independence from Britain,30,September,1966,Botswana,Independence,Botswana,Transition from British protectorate to independence.,Batswana,Seretse Khama,Positive,Military and Conflict,Africa,0.13432631,0.25829235,0.18868794,0.030730542,0.019934451,0.06934466,0.12080451,0.0058778203,0.057327725,0.052878197,0.06089752,0.00089780235
983,Independence from South Africa,21,March,1990,Namibia,Independence,Namibia,End of South African rule and apartheid in Namibia.,Namibians,"SWAPO, United Nations",Positive,Military and Conflict,Africa,0.1407326,0.1751139,0.16994831,0.01910796,0.014053859,0.03606488,0.15051395,0.03926447,0.15721525,0.05356183,0.037769035,0.006653943
984,Mahdist War,Unknown,Unknown,1881,Sudan,Religious/Military War,Sudan,Establishment of the Mahdist state in Sudan.,Sudanese,Muhammad Ahmad,Mixed,Social and Cultural Events,Africa,0.11028601,0.15929087,0.18429418,0.042475782,0.0721495,0.039077315,0.2042438,0.020032788,0.03886991,0.061344996,0.06309409,0.004840807
985,Independence from France,7,August,1960,Côte d'Ivoire,Independence,Côte d'Ivoire,"End of French colonial rule, start of sovereignty.",Ivorians,Félix HouphouëtUnknownBoigny,Positive,Military and Conflict,Africa,0.13235332,0.20714445,0.18537198,0.03723312,0.013278438,0.0727448,0.16996332,0.007614815,0.07115877,0.04835512,0.048722867,0.006058949
986,Ghana's Independence,6,March,1957,Ghana,Independence,Ghana,First SubUnknownSaharan African country to gain independence.,Ghanaians,Kwame Nkrumah,Positive,Military and Conflict,Africa,0.1677149,0.17684647,0.17995533,0.035542045,0.0017505282,0.0792673,0.14757693,0.018175842,0.053454798,0.09692145,0.03719561,0.0055988845
987,Union of Tanganyika and Zanzibar,26,April,1964,Tanzania,Union,Tanzania,Formation of Tanzania through the union of two sovereign states.,Tanzanians,"Julius Nyerere, Abeid Amani Karume",Positive,Social and Cultural Events,Africa,0.13251683,0.11616629,0.13977289,0.066135295,0.02469719,0.06741207,0.15195227,0.042526625,0.056484528,0.13050954,0.067100674,0.0047257626
988,Libyan Revolution (1969),1,September,1969,Libya,Coup d'état,Libya,"Overthrow of the monarchy, Muammar Gaddafi came to power.",Libyans,Muammar Gaddafi,Mixed,Social and Cultural Events,Africa,0.1032715,0.17721358,0.24573827,0.043747354,0.038329992,0.04504368,0.16258287,0.024025172,0.03399721,0.017290559,0.08761007,0.021149654
989,Independence from France,26,June,1960,Madagascar,Independence,Madagascar,End of French colonial rule.,Malagasy,Philibert Tsiranana,Positive,Military and Conflict,Africa,0.12180206,0.23968832,0.18711011,0.02498616,0.01536122,0.06293063,0.17542218,0.011450776,0.06640041,0.038619023,0.051279705,0.004949349
990,Ethiopian Revolution,12,September,1974,Ethiopia,Revolution,Ethiopia,"Overthrow of Emperor Haile Selassie, start of Derg regime.",Ethiopians,Derg,Negative,Political Events,Africa,0.123392366,0.1523017,0.193211,0.06648207,0.041858893,0.08556492,0.19050089,0.03685467,0.03426403,0.012644218,0.05353475,0.0093904985
991,Nigerian Civil War,6,July,1967,Nigeria,Civil War,Nigeria,"Conflict over the secessionist state of Biafra, massive casualties.",Nigerians,"Yakubu Gowon, Odumegwu Ojukwu",Negative,Military and Conflict,Africa,0.11862311,0.18801863,0.10103487,0.03973107,0.1734469,0.029317452,0.115661085,0.11957628,0.0538749,0.022559458,0.03702116,0.0011350416
992,Sharpeville Massacre,21,March,1960,South Africa,Massacre,Sharpeville,"AntiUnknownapartheid protest met with police violence, significant deaths.",South Africans,South African Police,Negative,Crisis and Emergency Response,Africa,0.09486798,0.083991535,0.09148459,0.021594957,0.3708364,0.016172748,0.09361079,0.16737977,0.028565565,0.013688862,0.012490894,0.005315797
993,Battle of Algiers,Unknown,Unknown,1956,Algeria,Military Engagement,Algiers,Pivotal conflict in the Algerian War of Independence.,Algerians,"FLN, French paratroopers",Mixed,Military and Conflict,Africa,0.10883617,0.2542158,0.12718001,0.07374927,0.08543095,0.044651695,0.14794123,0.032323442,0.04332344,0.031483207,0.037070427,0.013794365
994,Independence from Portugal,25,June,1975,Mozambique,Independence,Mozambique,End of Portuguese colonial rule after a protracted liberation struggle.,Mozambicans,FRELIMO,Positive,Military and Conflict,Africa,0.13495368,0.22523701,0.16598304,0.04050544,0.020469315,0.061395817,0.15850444,0.028578075,0.07035487,0.031173907,0.062829874,1.4548434e-05
995,Independence from Britain,24,October,1964,Zambia,Independence,Zambia,"Gained sovereignty, ending British colonial rule.",Zambians,Kenneth Kaunda,Positive,Military and Conflict,Africa,0.15121599,0.22009325,0.17806491,0.030385543,0.020693725,0.053281378,0.12413638,0.0035672372,0.08815607,0.062074505,0.06763121,0.0006998082
996,Independence from France,4,April,1960,Senegal,Independence,Senegal,Gained independence along with the Mali Federation.,Senegalese,Léopold Sédar Senghor,Positive,Military and Conflict,Africa,0.116411746,0.24895237,0.18254976,0.057662558,0.00065718085,0.08602821,0.16217275,0.0120930225,0.01629328,0.08802883,0.027562652,0.0015875548
997,Independence from Belgium,30,June,1960,Congo (DRC),Independence,Congo (DRC),"End of Belgian colonial rule, beginning of postUnknowncolonial challenges.",Congolese,Patrice Lumumba,Mixed,Military and Conflict,Africa,0.13760497,0.20695932,0.17205171,0.03993106,0.028170621,0.08754114,0.153931,0.035612162,0.06668996,0.03732403,0.03331767,0.0008663959
998,Independence from Britain,27,April,1961,Sierra Leone,Independence,Sierra Leone,Transition to sovereignty after British rule.,Sierra Leoneans,Milton Margai,Positive,Military and Conflict,Africa,0.14211516,0.19877963,0.1854685,0.030634223,0.026573446,0.061103664,0.12074667,0.0047100787,0.09455367,0.06787359,0.06543877,0.0020026101
999,Independence from France,22,September,1960,Mali,Independence,Mali,Gained independence as part of the Mali Federation.,Malians,Modibo Keïta,Positive,Military and Conflict,Africa,0.11324556,0.25899762,0.19107307,0.056288444,0.00020746075,0.07888092,0.16956183,0.011255068,0.016266124,0.079169415,0.024523582,0.0005309406
1000,August Revolution,4,August,1983,Burkina Faso,Revolution,Burkina Faso,"Thomas Sankara came to power, initiating radical reforms.",Burkinabè,Thomas Sankara,Positive,Political Events,Africa,0.13757561,0.116038136,0.19247593,0.040335733,0.031717926,0.1338963,0.1441122,0.068341404,0.0253907,0.010393586,0.09126519,0.008457222
1001,Independence from Britain,18,April,1980,Zimbabwe,Independence,Zimbabwe,Marked the end of Rhodesian rule and the beginning of majority rule.,Zimbabweans,Robert Mugabe,Positive,Military and Conflict,Africa,0.15179697,0.186895,0.20667738,0.014229385,0.008193813,0.05262666,0.15495779,0.0065566753,0.11263562,0.05445876,0.04982514,0.0011468185
1002,Egyptian Revolution of 1952,23,July,1952,Egypt,Revolution,Egypt,"Overthrow of the monarchy, establishment of a republic.",Egyptians,Free Officers Movement,Positive,Political Events,Africa,0.113536015,0.17393969,0.2477369,0.035702866,0.032155376,0.049649645,0.18494567,0.009192196,0.06331397,0.01979255,0.05441416,0.015621021
1003,Independence from Britain,12,December,1963,Kenya,Independence,Kenya,"End of British colonial rule, Jomo Kenyatta became president.",Kenyans,Jomo Kenyatta,Positive,Military and Conflict,Africa,0.14602178,0.191955,0.18560898,0.05090906,0.01717259,0.054701325,0.15752049,0.016516594,0.06984489,0.05393137,0.049841434,0.0059763803
1004,Independence from France,1,January,1960,Cameroon,Independence,Cameroon,Gained independence from French administration.,Cameroonians,Ahmadou Ahidjo,Positive,Military and Conflict,Africa,0.12480336,0.24917637,0.21849906,0.014692094,0.00047250805,0.08692465,0.17787708,0.000974881,0.025825856,0.057910413,0.036353208,0.0064905128
1005,Independence from Ethiopia,24,May,1993,Eritrea,Independence,Eritrea,"Achieved de facto independence after a 30Unknownyear war, followed by a UNUnknownsupervised referendum.",Eritreans,"EPLF, UN",Positive,Military and Conflict,Africa,0.13024479,0.1809519,0.1892922,0.05028926,0.015624671,0.08470761,0.14195488,0.02913573,0.05590642,0.095224895,0.024689216,0.00197849
1006,Nelson Mandela's Release from Prison,11,February,1990,South Africa,Political,South Africa,Marked the beginning of the end of apartheid.,South Africans,"F.W. de Klerk, ANC",Positive,Political Events,Africa,0.12831122,0.1167845,0.15954694,0.04083816,0.03622203,0.047977675,0.1602015,0.044680875,0.0954514,0.06452477,0.08892756,0.016533373
1007,Signing of Arusha Accords,4,August,1993,Rwanda,Peace Agreement,"Arusha, Tanzania",Attempted to end the Rwandan Civil War.,Rwandans,"Rwandan Government, RPF",Mixed,Social and Cultural Events,Africa,0.119707644,0.15054981,0.14249514,0.055340506,0.04171099,0.04427064,0.15027402,0.04927715,0.106360584,0.07243125,0.06002226,0.0075600697
1008,Comprehensive Peace Agreement,9,January,2005,Sudan,Peace Agreement,Sudan,"Ended the Second Sudanese Civil War, led to South Sudan's independence.","Sudanese, South Sudanese","SPLM, Government of Sudan",Positive,Social and Cultural Events,Africa,0.111981645,0.19829008,0.153074,0.057015065,0.0042091967,0.019953948,0.13037336,0.013673756,0.081269145,0.20370719,0.026157329,0.00029535178
1009,Libyan Civil War,17,February,2011,Libya,Civil War,Libya,Overthrow of Muammar Gaddafi's regime.,Libyans,"NTC, NATO, Gaddafi regime",Mixed,Military and Conflict,Africa,0.0853651,0.24392304,0.2156574,0.04880635,0.09586975,0.016291298,0.122316785,0.039140753,0.04771903,0.008364519,0.07458212,0.0019638168
1010,Independence from Britain,1,October,1960,Nigeria,Independence,Nigeria,"Gained independence, became a republic in 1963.",Nigerians,Nigerian Independence Movement,Positive,Military and Conflict,Africa,0.13478066,0.21553046,0.21283856,0.023145128,0.0027734619,0.07566087,0.15222418,0.004115172,0.04517473,0.09136453,0.03846217,0.00393005
1011,Dahomey (Benin) Independence,1,August,1960,Benin,Independence,Benin (Dahomey),Transition from French colonial rule to sovereignty.,Beninese,Hubert Maga,Positive,Military and Conflict,Africa,0.14620084,0.19313043,0.18370974,0.03047205,0.008243607,0.06241226,0.13321269,0.017823376,0.101118304,0.05981358,0.061800186,0.0020629677
1012,Tunisian Revolution,18,December,2010,Tunisia,Revolution,Tunisia,"Triggered the Arab Spring, leading to democratization.",Tunisians,"Mohamed Bouazizi, Civil Society",Positive,Political Events,Africa,0.14185072,0.14703251,0.18237272,0.04109527,0.028871026,0.108608596,0.16865487,0.029725788,0.020953234,0.058701437,0.05644026,0.0156935
1013,Abolition of Slavery,6,August,1981,Mauritania,Legal,Mauritania,"First country in the world to abolish slavery by law, though enforcement issues remain.",Mauritanians,Mauritanian Government,Positive,Legal and Judicial Changes,Africa,0.16222829,0.13193752,0.1483931,0.02029813,0.020255158,0.030714246,0.114951715,0.015878726,0.2712053,0.036387827,0.045780107,0.0019699377
1014,Independence from France,17,August,1960,Gabon,Independence,Gabon,End of French colonial rule.,Gabonese,Léon M'ba,Positive,Military and Conflict,Africa,0.12180206,0.23968832,0.18711011,0.02498616,0.01536122,0.06293063,0.17542218,0.011450776,0.06640041,0.038619023,0.051279705,0.004949349
1015,Independence from Britain,4,October,1966,Lesotho,Independence,Lesotho,Transition from British protectorate to independent kingdom.,Basotho,Moshoeshoe II,Positive,Military and Conflict,Africa,0.14127834,0.26035392,0.19186915,0.022451656,0.017582713,0.061254803,0.11773879,0.0076364167,0.06788325,0.05090102,0.060456052,0.0005939316
1016,Independence from Britain,18,February,1965,Gambia,Independence,Gambia,Gained independence within the Commonwealth.,Gambians,Dawda Jawara,Positive,Military and Conflict,Africa,0.14586957,0.23545384,0.17708465,0.03170405,0.0024613633,0.07841741,0.1316705,0.0010811404,0.045780808,0.10208621,0.047967028,0.00042337476
1017,Independence from France,27,June,1977,Djibouti,Independence,Djibouti,End of French colonial rule after referendum.,Djiboutians,Hassan Gouled Aptidon,Positive,Military and Conflict,Africa,0.11620155,0.23081194,0.20397241,0.02243969,0.013588163,0.06049421,0.18036824,0.012647777,0.08290419,0.038771186,0.034178644,0.0036220625
1018,Independence from Spain,12,October,1968,Equatorial Guinea,Independence,Equatorial Guinea,Transition from Spanish colony to independence.,Equatoguineans,Francisco Macías Nguema,Positive,Military and Conflict,Africa,0.1414791,0.2169777,0.18675612,0.027108109,0.005208847,0.08544396,0.17493203,0.007832143,0.048203144,0.036578897,0.06873004,0.000750039
1019,Independence from Britain,29,June,1976,Seychelles,Independence,Seychelles,Became a sovereign state after 162 years of British rule.,Seychellois,"James Mancham, FranceUnknownAlbert René",Positive,Military and Conflict,Africa,0.1442093,0.20387183,0.18586768,0.027849592,0.011261512,0.0654559,0.11892393,0.012427965,0.08492576,0.0646269,0.079951145,0.0006285014
1020,Independence and Unification,1,July,1960,Somalia,Independence/Union,Somalia,Union of British Somaliland and Italian Somaliland.,Somalis,Somali Youth League,Positive,Military and Conflict,Africa,0.14355181,0.19641332,0.16543226,0.035937082,0.014489994,0.052923247,0.16508526,0.00908234,0.06572716,0.084962845,0.0663756,1.9097371e-05
1021,Independence from Portugal,5,July,1975,Cape Verde,Independence,Cape Verde,Gained independence after the Carnation Revolution in Portugal.,Cape Verdeans,"Amílcar Cabral, PAIGC",Positive,Military and Conflict,Africa,0.14144199,0.22074005,0.17449945,0.05064877,0.00015184075,0.1012918,0.17424831,0.0073597897,0.0364132,0.038868956,0.05213985,0.0021959946
1022,Independence from Portugal,24,September,1973,GuineaUnknownBissau,Independence,GuineaUnknownBissau,"Declared independence, recognized in 1974 after the Carnation Revolution.",BissauUnknownGuineans,"Amílcar Cabral, PAIGC",Positive,Military and Conflict,Unknown,0.12531586,0.19779344,0.20471455,0.03880127,0.003139511,0.086368635,0.16870065,0.0018519753,0.07516967,0.058397446,0.03780648,0.0019405603
1023,Independence from France,6,July,1975,Comoros,Independence,Comoros,Gained independence following a referendum.,Comorians,Ahmed Abdallah,Positive,Military and Conflict,Africa,0.1256359,0.24594401,0.20825104,0.023650384,0.0024596471,0.07333299,0.1717499,0.0015444051,0.038735274,0.07264195,0.030739374,0.005315018
1024,Independence from Portugal,11,November,1975,Angola,Independence,Angola,Achieved independence following the Carnation Revolution and Alvor Agreement.,Angolans,"MPLA, Agostinho Neto",Positive,Military and Conflict,Africa,0.1284593,0.19508703,0.1618976,0.05773523,0.00039375562,0.07404263,0.16559622,0.0039428915,0.045034703,0.09187524,0.07593081,4.425158e-06
1025,Independence from France,13,August,1960,Central African Republic,Independence,Central African Republic,Transition from French colony to independence.,Central Africans,"Barthélemy Boganda, David Dacko",Positive,Military and Conflict,Africa,0.11972374,0.24284211,0.17950484,0.03666284,0.0066510225,0.10189877,0.1632292,0.0070560025,0.02565518,0.058542646,0.047505375,0.010728313
1026,Independence from France,11,August,1960,Chad,Independence,Chad,Gained independence from French colonial rule.,Chadians,François Tombalbaye,Positive,Military and Conflict,Africa,0.14173426,0.24507993,0.186371,0.023552656,0.00330924,0.078813896,0.15545744,0.001654439,0.04252228,0.060428232,0.054862928,0.0062136627
1027,Independence from Britain,6,July,1964,Malawi,Independence,Malawi,Transition from British protectorate to independent nation.,Malawians,Hastings Banda,Positive,Military and Conflict,Africa,0.14007951,0.24360694,0.18567258,0.02832844,0.017367998,0.06915893,0.12359774,0.00887703,0.058862872,0.061296325,0.061630152,0.0015214116
1028,Independence from Belgium,1,July,1962,Burundi,Independence,Burundi,Gained independence alongside Rwanda from Belgian administration.,Burundians,Mwami Mwambutsa IV,Positive,Military and Conflict,Africa,0.1406078,0.24268341,0.18083523,0.023134757,0.012264602,0.08751315,0.15133789,0.02361044,0.030300584,0.07668295,0.030016407,0.0010127261
1029,Independence from France,15,August,1960,Congo (Brazzaville),Independence,Congo (Brazzaville),Became independent from French colonial empire.,Congolese (Brazzaville),Fulbert Youlou,Positive,Military and Conflict,Africa,0.12950827,0.3025926,0.20920001,0.016177606,0.0014095752,0.06613902,0.1610081,0.0043095853,0.034087468,0.03601002,0.038597982,0.0009596727
